Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dummyTestSuite,,,,05-11-2025 17:44:11,05-11-2025 17:44:24,"12,704s",FAILED
,,,,,,,
Start listener action : beforeSuite,,,,05-11-2025 17:44:11,05-11-2025 17:44:12,"0,209s",PASSED
,,,,,,,
Test Cases/TC-001,,,,05-11-2025 17:44:14,05-11-2025 17:44:20,"6,326s",PASSED
"logInfo(""Ejecutando TC-001 de prueba"")",,,,05-11-2025 17:44:14,05-11-2025 17:44:14,"0,018s",PASSED
assert true,,,,05-11-2025 17:44:14,05-11-2025 17:44:14,"0,008s",PASSED
Start listener action : afterTestCase,,,,05-11-2025 17:44:14,05-11-2025 17:44:20,"6,059s",PASSED
,,,,,,,
Test Cases/TC-002,,,,05-11-2025 17:44:20,05-11-2025 17:44:24,"3,539s",FAILED
"logInfo(""Ejecutando TC-002 de prueba"")",,,,05-11-2025 17:44:20,05-11-2025 17:44:20,"0,008s",PASSED
"assert false : ""Fallo forzado para probar el webhook""",,,,05-11-2025 17:44:20,05-11-2025 17:44:21,"0,099s",FAILED
Start listener action : afterTestCase,,,,05-11-2025 17:44:21,05-11-2025 17:44:24,"3,266s",PASSED
