Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dummyTestSuite,,,,05-11-2025 17:35:51,05-11-2025 17:36:05,"13,379s",FAILED
,,,,,,,
Start listener action : beforeSuite,,,,05-11-2025 17:35:51,05-11-2025 17:35:52,"0,350s",PASSED
,,,,,,,
Test Cases/TC-001,,,,05-11-2025 17:35:54,05-11-2025 17:36:00,"5,983s",PASSED
"logInfo(""Ejecutando TC-001 de prueba"")",,,,05-11-2025 17:35:55,05-11-2025 17:35:55,"0,017s",PASSED
assert true,,,,05-11-2025 17:35:55,05-11-2025 17:35:55,"0,010s",PASSED
Start listener action : afterTestCase,,,,05-11-2025 17:35:55,05-11-2025 17:36:00,"5,705s",PASSED
,,,,,,,
Test Cases/TC-002,,,,05-11-2025 17:36:01,05-11-2025 17:36:04,"3,949s",FAILED
"logInfo(""Ejecutando TC-002 de prueba"")",,,,05-11-2025 17:36:01,05-11-2025 17:36:01,"0,009s",PASSED
"assert false : ""Fallo forzado para probar el webhook""",,,,05-11-2025 17:36:01,05-11-2025 17:36:01,"0,179s",FAILED
Start listener action : afterTestCase,,,,05-11-2025 17:36:01,05-11-2025 17:36:04,"3,601s",PASSED
