Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dummyTestSuite,,,,05-11-2025 17:24:20,05-11-2025 17:24:24,"4,368s",FAILED
,,,,,,,
Start listener action : beforeSuite,,,,05-11-2025 17:24:20,05-11-2025 17:24:20,"0,136s",PASSED
,,,,,,,
Test Cases/TC-001,,,,05-11-2025 17:24:22,05-11-2025 17:24:23,"0,495s",PASSED
"logInfo(""Ejecutando TC-001 de prueba"")",,,,05-11-2025 17:24:23,05-11-2025 17:24:23,"0,048s",PASSED
assert true,,,,05-11-2025 17:24:23,05-11-2025 17:24:23,"0,011s",PASSED
Start listener action : afterTestCase,,,,05-11-2025 17:24:23,05-11-2025 17:24:23,"0,175s",PASSED
,,,,,,,
Test Cases/TC-002,,,,05-11-2025 17:24:24,05-11-2025 17:24:24,"0,131s",FAILED
"logInfo(""Ejecutando TC-002 de prueba"")",,,,05-11-2025 17:24:24,05-11-2025 17:24:24,"0,008s",PASSED
"assert false : ""Fallo forzado para probar el webhook""",,,,05-11-2025 17:24:24,05-11-2025 17:24:24,"0,014s",FAILED
Start listener action : afterTestCase,,,,05-11-2025 17:24:24,05-11-2025 17:24:24,"0,024s",PASSED
