Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dummyTestSuite,,,,06-11-2025 11:43:55,06-11-2025 11:44:16,"21,354s",FAILED
,,,,,,,
Start listener action : beforeSuite,,,,06-11-2025 11:43:55,06-11-2025 11:43:55,"0,123s",PASSED
,,,,,,,
Test Cases/TC-001,,,,06-11-2025 11:43:58,06-11-2025 11:44:05,"7,581s",PASSED
"logInfo(""Ejecutando TC-001 de prueba"")",,,,06-11-2025 11:43:58,06-11-2025 11:43:58,"0,042s",PASSED
assert true,,,,06-11-2025 11:43:58,06-11-2025 11:43:58,"0,009s",PASSED
Start listener action : afterTestCase,,,,06-11-2025 11:43:58,06-11-2025 11:44:05,"7,304s",PASSED
,,,,,,,
Test Cases/TC-002,,,,06-11-2025 11:44:13,06-11-2025 11:44:16,"3,463s",FAILED
"logInfo(""Ejecutando TC-002 de prueba"")",,,,06-11-2025 11:44:13,06-11-2025 11:44:13,"0,004s",PASSED
"assert false : ""Fallo forzado para probar el webhook""",,,,06-11-2025 11:44:13,06-11-2025 11:44:13,"0,008s",FAILED
Start listener action : afterTestCase,,,,06-11-2025 11:44:13,06-11-2025 11:44:16,"3,407s",PASSED
