Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dummyTestSuite,,,,06-11-2025 10:29:16,06-11-2025 10:29:35,"18,578s",FAILED
,,,,,,,
Start listener action : beforeSuite,,,,06-11-2025 10:29:17,06-11-2025 10:29:17,"0,147s",PASSED
,,,,,,,
Test Cases/TC-001,,,,06-11-2025 10:29:20,06-11-2025 10:29:28,"7,690s",PASSED
"logInfo(""Ejecutando TC-001 de prueba"")",,,,06-11-2025 10:29:20,06-11-2025 10:29:20,"0,040s",PASSED
assert true,,,,06-11-2025 10:29:20,06-11-2025 10:29:20,"0,007s",PASSED
Start listener action : afterTestCase,,,,06-11-2025 10:29:20,06-11-2025 10:29:28,"7,368s",PASSED
,,,,,,,
Test Cases/TC-002,,,,06-11-2025 10:29:31,06-11-2025 10:29:35,"3,673s",FAILED
"logInfo(""Ejecutando TC-002 de prueba"")",,,,06-11-2025 10:29:31,06-11-2025 10:29:31,"0,005s",PASSED
"assert false : ""Fallo forzado para probar el webhook""",,,,06-11-2025 10:29:31,06-11-2025 10:29:31,"0,006s",FAILED
Start listener action : afterTestCase,,,,06-11-2025 10:29:31,06-11-2025 10:29:35,"3,620s",PASSED
